Shop ID,Shopname,Meli id,Item Title,Promo Price,Link,L1 Category,buckt,meds,buckt_meds,score,score_medida,Item ID shopee,Item Title shopee,Shop ID shopee,Shopname shopee,L1 Category shopee,item_price shopee,price shopee,Promo Price shopee,link shopee
4945578885,Digital Santa,b23030902607,Maquina De Barbear Vintage Dragao Buda Homem Caveira Metal Barba Cabelo Acabamento Aparador De Pelos Corpo,24.92,https://br.shein.com//Men-Grooming-Machines-p-13713499-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,89,,14147094686,Maquina De Barbear Dragão Metal Vintage Acabamento Cabelo Barba Aparador De Pelos Corpo,612023227,Digital Santa,Beauty,27.9,35.9,27.9,https://www.shopee.com.br/product/612023227/14147094686
4945578885,Digital Santa,b23031141402,Maquina De Barbear Dragao Buda Homem Caveira Metal Vintage Acabamento Cabelo Barba Aparador De Pelos Corpo,24.1,https://br.shein.com//Men-Grooming-Machines-p-13745109-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,89,,14147094686,Maquina De Barbear Dragão Metal Vintage Acabamento Cabelo Barba Aparador De Pelos Corpo,612023227,Digital Santa,Beauty,27.9,35.9,27.9,https://www.shopee.com.br/product/612023227/14147094686
5637484078,tudos venda,e22121422042,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil,24.8,https://br.shein.com//Men-Grooming-Machines-p-12484742-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,100,,23118253792,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,393607218,VATIN BRASIL,Beauty,26.78473684,80.0,26.78473684,https://www.shopee.com.br/product/393607218/23118253792
5907347475,Ton Eletronicos,e22101825389,Ton Eletronicos TOON Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil,25.65,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11795605-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,89,,23118253792,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,393607218,VATIN BRASIL,Beauty,26.78473684,80.0,26.78473684,https://www.shopee.com.br/product/393607218/23118253792
5907347475,Ton Eletronicos,e22102583196,Ton Eletronicos Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Cabeleireiro,28.01,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11833731-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,85,,23118253792,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,393607218,VATIN BRASIL,Beauty,26.78473684,80.0,26.78473684,https://www.shopee.com.br/product/393607218/23118253792
5907347475,Ton Eletronicos,e22102588666,Ton Eletronicos Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Cabeleireiro Faz Desenho,26.2,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11832240-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,81,,23118253792,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,393607218,VATIN BRASIL,Beauty,26.78473684,80.0,26.78473684,https://www.shopee.com.br/product/393607218/23118253792
9852462625,HHSHOP_BRASIL,h23052965611,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Potente,27.64,https://br.shein.com//Toothbrush-p-17405854-cat-3348.html?mallCode=2,Home & Living,<40,nan,<400,96,,23118253792,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,393607218,VATIN BRASIL,Beauty,26.78473684,80.0,26.78473684,https://www.shopee.com.br/product/393607218/23118253792
4945578885,Digital Santa,b23031288114,Maquina de Cortar Barba Pelos Perna Pezinho Depilador Barbeador Acabamento,27.77,https://br.shein.com//Men-Grooming-Machines-p-13773334-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,100,,12495625724,Máquina de Cortar Barba Pelos Perna Pézinho Depilador Barbeador Acabamento,296745639,cyn eletronicos ltda,Beauty,39.99,39.99,39.99,https://www.shopee.com.br/product/296745639/12495625724
4945578885,Digital Santa,b23030955966,Mini Depilador Aparador Eletrico De Sobrancelha Buco Caneta,13.03,https://br.shein.com//Beauty-Care-Equipment-p-13715791-cat-3690.html?mallCode=2,Beauty,<20,nan,<200,98,,16841947389,Mini Aparador Elétrico Depiladora Buço Sobrancelhas Caneta,704936091,Gka Utilidades,Beauty,18.9,18.9,18.9,https://www.shopee.com.br/product/704936091/16841947389
1424716658,fada das flores,b22102708472,Mini Aparador Eletrico Sobrancelhas Buco Depiladora,15.93,https://br.shein.com//Body-Care-Machines-p-11886878-cat-3863.html?mallCode=2,Beauty,<20,nan,<200,94,,16841947389,Mini Aparador Elétrico Depiladora Buço Sobrancelhas Caneta,704936091,Gka Utilidades,Beauty,18.9,18.9,18.9,https://www.shopee.com.br/product/704936091/16841947389
6275759819,Noveve,b23050882021,Barbeador Eletrico Portatil A Prova D'agua De Dupla Finalidade Tipo c De Carga Rapida Aparador De Barba De Bolso,27.83,https://br.shein.com//Men-Grooming-Machines-p-15797956-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,84,,22933497602,Mini Barbeador Elétrico Portátil À Prova D'água Uso Duplo Úmido Seco Tipo c Aparador De Barba De Bolso De Carregamento Rápido,949023788,allkindsofbags.br,Beauty,27.9,1368.37,27.9,https://www.shopee.com.br/product/949023788/22933497602
